genotype,shocked,trackid,learningscore
dgrp129,true,11,0.007389981251721051
dgrp129,true,12,0.015321197388182745
dgrp129,true,13,0.030462847094640644
dgrp129,true,14,0.02787788862741572
dgrp129,true,15,0.03091877612835911
dgrp129,true,16,0.06324569504551564
dgrp129,true,25,0.0060170190577935045
dgrp129,true,26,0.046630091714492866
dgrp129,true,27,0.02159748145790802
dgrp129,true,28,0.06352698907697868
dgrp129,true,29,0.016564557703488858
dgrp129,true,30,0.032488849691373944
dgrp129,true,31,0.016316521428581282
dgrp129,true,32,0.04524338360613242
dgrp129,true,9,0.008368943119761635
dgrp153,false,17,0.0038416497828246132
dgrp153,false,18,0.014760470052713526
dgrp153,false,19,0.035580055333346045
dgrp153,false,20,0.009704213527044092
dgrp153,false,21,0.0007596522121156579
dgrp153,false,22,0.010544906757196854
dgrp153,false,23,0.02189685967238067
dgrp153,false,49,0.0005994089354426912
dgrp153,false,50,0.015256787198879601
dgrp153,false,51,0.006716951825117057
dgrp153,false,52,0.010818805576220808
dgrp153,false,53,0.04225691518201338
dgrp153,false,54,0.008053785854233081
dgrp153,false,55,0.0010736967527859298
dgrp153,false,56,0.01082608774324273
dgrp153,false,25,0.00011725062898840233
dgrp153,false,26,0.010335328884144485
dgrp153,false,27,0.02803081409325381
dgrp153,false,28,0.014681754223093868
dgrp153,false,29,0.004046203007857435
dgrp153,false,30,0.008224539223000316
dgrp153,false,31,0.000765649143913083
dgrp153,false,32,0.00545436706816807
dgrp153,false,57,0.01618848061892031
dgrp153,false,58,0.008012770378436063
dgrp153,false,59,0.015147240845017063
dgrp153,false,60,0.0028958337460752437
dgrp153,false,61,0.010496968016237701
dgrp153,false,62,0.019112475225676134
dgrp153,false,63,0.002497987628086673
dgrp153,false,64,0.005026623999105112
dgrp153,true,1,0.01403942644435599
dgrp153,true,2,0.005554498855130291
dgrp153,true,3,0.00800533537736392
dgrp153,true,33,0.012766559405935018
dgrp153,true,34,0.011617675539128791
dgrp153,true,35,0.007508949695450073
dgrp153,true,36,0.011087730730062167
dgrp153,true,37,0.007485365360704238
dgrp153,true,38,0.015599298155337338
dgrp153,true,39,0.006023636924359754
dgrp153,true,4,0.007811388551279136
dgrp153,true,40,0.01784282283764696
dgrp153,true,5,0.023390174768903566
dgrp153,true,6,0.008640478646925132
dgrp153,true,7,0.01493841413098465
dgrp153,true,8,0.0120007174997116
dgrp153,true,10,0.03431028892063756
dgrp153,true,11,0.005034730508105212
dgrp153,true,12,0.00823182935050143
dgrp153,true,13,0.003278071838292318
dgrp153,true,14,0.14949526271886776
dgrp153,true,15,0.018607283181860362
dgrp153,true,16,0.019591834878323555
dgrp153,true,41,0.007400059928903108
dgrp153,true,42,0.024112057532199804
dgrp153,true,43,0.016510671523928877
dgrp153,true,44,0.003911986574765547
dgrp153,true,45,0.0029812196161722593
dgrp153,true,46,0.01773074893639237
dgrp153,true,47,0.007253050093383062
dgrp153,true,48,0.02187513994161866
dgrp153,true,9,0.06936352152566302
dgrp189,false,17,0.010709511403132144
dgrp189,false,18,0.0028261834013366127
dgrp189,false,19,0.007628450152954852
dgrp189,false,20,0.011570854751760035
dgrp189,false,21,0.035888930692673265
dgrp189,false,22,0.008164623791518416
dgrp189,false,23,0.009851920599870861
dgrp189,false,24,0.017517892089990855
dgrp189,false,49,0.005381760447943834
dgrp189,false,50,0.011670424555345671
dgrp189,false,51,0.004954644118916635
dgrp189,false,52,0.008744255580853566
dgrp189,false,53,0.0037881614377029693
dgrp189,false,54,0.04634724966053139
dgrp189,false,55,0.0013121412264154586
dgrp189,false,56,0.022633971244477108
dgrp189,false,25,0.010431647962067692
dgrp189,false,26,0.0023812814031344276
dgrp189,false,27,0.052749245512368925
dgrp189,false,28,0.002254485081265911
dgrp189,false,29,0.04951234278763464
dgrp189,false,30,0.024226184697981018
dgrp189,false,31,0.013957973445633154
dgrp189,false,32,0.0008887126522866828
dgrp189,false,57,0.015349916443454042
dgrp189,false,58,0.0058512830889350664
dgrp189,false,59,0.012878986223004901
dgrp189,false,60,0.006314363715470506
dgrp189,false,61,0.018058408698531286
dgrp189,false,62,0.01569730731649538
dgrp189,false,63,0.007412811081978832
dgrp189,false,64,0.006169899796202999
dgrp189,true,1,0.01148589084983756
dgrp189,true,2,0.0035792517784293543
dgrp189,true,3,0.03327035309407206
dgrp189,true,33,0.01242011260605666
dgrp189,true,34,0.008120852571851495
dgrp189,true,35,0.0016957415863425862
dgrp189,true,36,0.0022605392155022053
dgrp189,true,37,0.02539176575964866
