genotype,shocked,trackid,new_learningscore
dgrp595,true,44,0.5110180549825525
dgrp595,true,45,0.1395607466205718
dgrp595,true,46,0.2096469331796838
dgrp595,true,47,-0.006032931996314184
dgrp595,true,48,0.1212591054563015
dgrp595,true,9,-0.5073998377390698
dgrp705,false,17,0.10154311690176318
dgrp705,false,18,0.03899323124095988
dgrp705,false,19,-0.4925215607665375
dgrp705,false,20,0.13096498291369021
dgrp705,false,21,-0.24301013189836382
dgrp705,false,22,-0.01274431900597461
dgrp705,false,23,0.050382821422169474
dgrp705,false,24,0.4697013709789656
dgrp705,false,49,0.05582797134771693
dgrp705,false,50,0.0032332461684434766
dgrp705,false,51,-0.6270084886726199
dgrp705,false,52,0.29127515618464783
dgrp705,false,53,-0.8386670820838371
dgrp705,false,54,-0.2787878787878788
dgrp705,false,55,-0.07843573019832145
dgrp705,false,56,-0.5272727272727273
dgrp705,false,25,0.19633379812475163
dgrp705,false,26,-0.17444813596870826
dgrp705,false,27,0.07259753377322528
dgrp705,false,28,0.34330251894381314
dgrp705,false,29,0.14545454545454545
dgrp705,false,30,0.2657889146928159
dgrp705,false,31,0.31635623401052704
dgrp705,false,32,-0.18651369306515464
dgrp705,false,57,0.09817067194564863
dgrp705,false,58,-0.2116765171826639
dgrp705,false,59,0.5365882265228039
dgrp705,false,60,-0.1643428076592896
dgrp705,false,61,-0.6363636363636364
dgrp705,false,62,0.5766339211268185
dgrp705,false,63,-0.5272727272727272
dgrp705,false,64,0.19973811204222652
dgrp705,true,1,-0.698479836784081
dgrp705,true,2,0.4297572021492462
dgrp705,true,3,-0.11548464323421276
dgrp705,true,33,-0.5862327838835655
dgrp705,true,34,-0.011219080826946115
dgrp705,true,35,0.04111499754214523
dgrp705,true,36,-0.18273277724510092
dgrp705,true,37,-0.3988658095703172
dgrp705,true,38,-0.7511932128950221
dgrp705,true,39,0.41900344862095595
dgrp705,true,4,-0.11437645584186595
dgrp705,true,40,0.3407033791828069
dgrp705,true,5,-0.26260432047681453
dgrp705,true,6,0.4566622347605943
dgrp705,true,7,-0.3655345944908844
dgrp705,true,8,-0.3882796675557595
dgrp705,true,10,0.6402610600750849
dgrp705,true,11,0.8312127572900921
dgrp705,true,12,0.28391201331149474
dgrp705,true,13,0.8140902115608865
dgrp705,true,14,-0.37749164539665536
dgrp705,true,15,-0.13104439575472993
dgrp705,true,16,0.6781690947785342
dgrp705,true,41,-0.09540028092858273
dgrp705,true,42,0.1636130365332884
dgrp705,true,43,-0.03179485018022299
dgrp705,true,44,-0.18776439608321652
dgrp705,true,45,0.21982189962832283
dgrp705,true,46,0.7219469062980024
dgrp705,true,47,0.44285826513418025
dgrp705,true,48,-0.022932984453556765
dgrp705,true,9,0.5222329678670935
dgrp75,false,17,0.2876241427896996
dgrp75,false,18,-0.37967751732991833
dgrp75,false,19,0.03212671622384775
dgrp75,false,20,-0.09784080137544403
dgrp75,false,21,0.18550017704632377
dgrp75,false,22,-0.14262276597861775
dgrp75,false,23,0.18963717845240996
dgrp75,false,24,0.10988964124197398
dgrp75,false,49,0.1303030303030303
dgrp75,false,50,0.08178111354559683
dgrp75,false,51,0.18439794449939723
dgrp75,false,52,-0.5183934279999549
dgrp75,false,53,-0.07060193498030502
dgrp75,false,54,-0.6994501488252096
dgrp75,false,55,-0.09872335391705564
dgrp75,false,56,0.6229913982962003
dgrp75,false,25,0.2925010809934919
dgrp75,false,26,-0.1602613128604933
dgrp75,false,27,-0.34955491230413444
dgrp75,false,28,0.03922636149031824
dgrp75,false,29,0.7466629795952908
dgrp75,false,30,-0.2541978778767446
dgrp75,false,31,-0.34423691699809694
dgrp75,false,32,-0.21823846426225113
dgrp75,false,57,-0.42188243282660587
dgrp75,false,58,-0.21854158101761262
dgrp75,false,59,0.3407110522130766
dgrp75,false,60,-0.16576170138333132
dgrp75,false,61,0.5216817919198953
dgrp75,false,62,-0.23056842604394345
dgrp75,false,63,-0.10326458822394062
dgrp75,false,64,0.13274621100040526
dgrp75,true,1,0.306167290219392
dgrp75,true,2,0.8790872099988656
dgrp75,true,3,0.411994653372334
dgrp75,true,33,0.44440633933954626
